km,fuel,age,price
135000,Diesel,8,9700
155000,Diesel,7,7500
9000,Diesel,2,27000
149000,Diesel,10,7000
233000,Diesel,12,4600
131500,Diesel,9,0
229000,Diesel,11,4800
176000,Diesel,9,9200
61786,Diesel,4,15900
54000,Diesel,3,17250
73000,Essence,6,17990
51000,Diesel,3,23900
65000,Diesel,3,14500
10,Diesel,0,21900
88000,Diesel,5,19000
106000,Diesel,8,8990
48600,Essence,4,16990
43715,Diesel,3,24900
90000,Diesel,7,25500
103000,Essence,12,7500
121000,Diesel,6,13000
9000,Diesel,2,17600
49800,Essence,9,11800
39800,Diesel,4,19990
93000,Diesel,4,23900
129000,Diesel,6,16000
99650,Essence,11,12700
135000,Diesel,9,9500
24630,Diesel,1,32900
125000,Diesel,9,13800
53400,Diesel,3,21500
177000,Diesel,11,7200
158000,Diesel,4,11200
3000,Diesel,0,25990
69000,Diesel,4,17500
99000,Diesel,8,11590
113000,Diesel,7,10500
28500,Diesel,2,16500
102489,Diesel,5,16890
13755,Essence,3,26990
262000,Diesel,12,4500
92383,Diesel,3,20250
125000,Diesel,9,7000
21300,Essence,1,22200
172000,Diesel,7,7650
5400,Diesel,1,23490
140000,Diesel,8,8300
145000,Diesel,6,11500
165,Diesel,8,7700
99000,Essence,10,10400
125000,Diesel,6,14990
188000,Diesel,11,6000
159990,Diesel,9,9500
5,Diesel,0,26950
62000,Diesel,5,19990
91000,Diesel,5,22300
127000,Diesel,11,7800
100000,Diesel,7,10000
68700,Diesel,4,14900
89000,Diesel,3,14900
99980,Diesel,7,9990
215000,Diesel,10,5450
29902,Diesel,3,21690
90000,Diesel,6,13900
83000,Diesel,4,14990
49495,Diesel,3,19848
30000,Diesel,2,31000
46000,Diesel,3,15990
115000,Diesel,6,9850
130000,Diesel,6,9000
189000,Diesel,12,6290
91820,Diesel,5,16950
70000,Essence,9,11000
65000,Diesel,7,13490
130000,Diesel,5,12300
175000,Diesel,7,9499
41385,Diesel,3,23900
108700,Diesel,4,14990
173000,Diesel,8,7300
139900,Diesel,10,7990
34930,Diesel,3,17900
27000,Diesel,2,33900
126926,Diesel,5,18900
173000,Diesel,10,7500
95000,Diesel,8,14000
98000,Diesel,4,20000
100000,Diesel,3,14000
45000,Diesel,3,16000
121000,Diesel,9,10500
146000,Diesel,8,8990
83000,Diesel,5,19000
95000,Diesel,5,15200
111808,Essence,12,6700
137000,Diesel,8,9000
9000,Diesel,0,39500
128000,Diesel,7,16900
165000,Diesel,7,12500
115000,Diesel,8,9990
154000,Diesel,6,8700
175500,Diesel,10,5800
53273,Diesel,3,15809
120000,Diesel,5,14000
14611,Diesel,3,16500
173039,Diesel,10,7800
4671,Diesel,1,25850
36911,Diesel,4,22890
16430,Diesel,1,27024
39740,Diesel,3,21994
190000,Diesel,11,8900
111000,Diesel,7,12800
207000,Diesel,12,6500
77500,Diesel,6,11500
202000,Diesel,11,6600
53000,Essence,2,28500
181,Diesel,9,7300
50000,Diesel,5,18000
228000,Diesel,9,4000
133000,Diesel,9,10900
175000,Diesel,12,8000
20790,Essence,1,23988
125000,Diesel,8,13500
102500,Diesel,8,18200
162500,Diesel,9,12700
9990,Diesel,0,26990
201000,Diesel,7,7200
58000,Diesel,5,17990
71436,Diesel,3,21900
118000,Diesel,9,9990
163000,Essence,8,8300
93000,Diesel,6,10950
43000,Diesel,4,20000
9000,Diesel,0,37850
17659,Diesel,3,21900
150000,Diesel,10,8700
125000,Diesel,9,9500
130000,Diesel,13,5800
155000,Diesel,8,7990
198000,Diesel,10,7650
200000,Diesel,12,6700
119900,Diesel,9,15990
55100,Diesel,5,15300
1351,Diesel,1,30900
91000,Diesel,4,13900
13500,Diesel,0,26990
25000,Diesel,3,14950
224000,Diesel,10,7300
94000,Diesel,4,22000
112000,Diesel,3,19800
50000,Diesel,4,24500
100900,Diesel,8,9200
174999,Diesel,10,7700
116400,Diesel,8,12000
42570,Diesel,3,20900
100005,Diesel,5,12000
65031,Diesel,5,17990
111000,Diesel,6,10500
205000,Diesel,12,7500
63196,Diesel,3,15990
276000,Diesel,12,5400
19950,Essence,1,24950
86100,Diesel,7,12900
59000,Diesel,4,21900
10,Diesel,0,37900
107700,Diesel,5,18490
206000,Diesel,9,10500
85000,Diesel,7,10700
11598,Essence,1,29990
76639,Diesel,5,14990
110000,Diesel,7,9950
250000,Diesel,12,5500
6000,Essence,2,27990
53000,Essence,4,26900
37702,Diesel,2,20500
120000,Diesel,9,9300
