107314.51996777536,62495.707380485866,6.6289561514558635,3.1993956341812666,1500.0,90800.0
km,fuel,age,price
1.43506,-1,0.74109,0.06382
1.30705,-1,1.05365,0.07838
1.08304,-1,-0.5091,0.10414
-0.9826,-1,-0.5091,0.18017
0.55500,-1,0.74109,0.08958
0.49100,-1,0.74109,0.07043
0.63846,-1,1.99132,0.07267
-1.6851,1,-1.7593,0.57558
1.56307,-1,0.74109,0.05375
-0.2770,-1,-0.8217,0.18477
0.10697,-1,-0.1965,0.11758
0.74701,-1,1.05365,0.07838
-0.4370,-1,0.11597,0.09517
0.95503,-1,0.11597,0.07838
0.18698,-1,0.11597,0.09518
-0.2314,-1,0.11597,0.18465
-0.9875,-1,-1.1342,0.30683
-0.9058,-1,-0.8217,0.16237
-0.2970,-1,-0.5091,0.15005
0.88142,-1,1.05365,0.06718
-0.7426,-1,-0.8217,0.13885
-0.8490,-1,-0.5091,0.17905
0.39499,-1,0.42853,0.15005
0.44240,-1,0.11597,0.09283
-1.4627,-1,-1.4468,0.23852
-0.1450,1,1.36620,0.07166
-0.4633,1,-0.1965,0.28443
0.31498,-1,0.11597,0.12765
0.28298,-1,0.74109,0.13986
1.24305,-1,0.74109,0.06605
-1.1011,1,-0.5091,0.15005
2.53914,-1,0.74109,0.07278
-0.3410,-1,0.42853,0.13213
-1.4789,1,-1.4468,0.22844
0.44299,-1,1.36620,0.07950
1.86709,-1,1.36620,0.04255
-0.7410,-1,0.74109,0.12318
0.21098,1,-0.8217,0.29563
-0.8370,-1,-1.1342,0.14333
0.66701,1,1.67876,0.08398
-1.4286,-1,-1.7593,0.33527
1.16304,-1,0.42853,0.07827
0.35611,-1,0.74109,0.12866
0.87502,-1,-0.5091,0.11758
0.84542,-1,-0.5091,0.14893
0.18698,-1,-0.5091,0.17346
1.14544,-1,1.67876,0.06159
-0.2290,-1,0.42853,0.12318
0.55500,-1,0.42853,0.08286
-0.7855,-1,-0.1965,0.16125
-1.2051,-1,-0.8217,0.20716
-0.2770,-1,-0.5091,0.12653
1.21105,-1,1.05365,0.07278
0.49100,-1,1.36620,0.07166
1.54707,-1,1.05365,0.10638
-0.7906,-1,-1.1342,0.18849
-1.1491,-1,-0.8217,0.19585
-0.2290,-1,1.36620,0.07838
0.41659,-1,0.11597,0.10627
1.29105,-1,1.67876,0.06718
0.54700,-1,0.42853,0.12318
0.84302,-1,0.42853,0.13885
-1.4177,-1,-1.1342,0.19585
1.09904,-1,0.74109,0.05151
1.54243,-1,1.67876,0.05263
1.21105,-1,1.36620,0.07166
-1.3555,-1,1.99132,0.04367
0.30058,-1,-0.8217,0.16125
0.25098,-1,0.11597,0.08958
-0.2148,1,0.11597,0.25755
0.07497,-1,0.42853,0.10077
-0.1010,-1,0.74109,0.10526
-1.0291,-1,-0.5091,0.22396
-0.5810,-1,-0.1965,0.11982
-0.8149,-1,-0.8217,0.16125
0.04297,-1,-0.1965,0.08947
-0.1730,-1,-0.5091,0.13885
0.77902,-1,1.05365,0.05935
1.78709,-1,0.42853,0.05599
-0.5490,-1,-0.8217,0.13437
0.18698,-1,-0.1965,0.10526
-0.9490,-1,-1.1342,0.52071
-0.6624,-1,-0.8217,0.23964
0.20298,-1,0.42853,0.07782
-1.0451,-1,-0.8217,0.22396
-0.4690,-1,0.42853,0.10638
0.81102,-1,0.74109,0.07278
0.69901,-1,1.36620,0.06718
-0.3410,-1,-0.1965,0.14770
0.28298,-1,-0.5091,0.11198
0.42699,1,1.67876,0.09406
0.36299,-1,0.74109,0.12318
0.84302,-1,-0.5091,0.12989
0.71501,-1,-0.1965,0.14557
-1.5899,1,-1.7593,0.54188
-1.5859,-1,-1.7593,0.37279
1.88309,-1,1.05365,0.05027
0.13897,-1,-0.5091,0.13538
-0.7410,-1,-0.8217,0.18365
-1.2371,1,0.42853,0.10526
-0.1970,-1,0.11597,0.15453
0.54380,-1,0.42853,0.07267
-1.2931,-1,-1.7593,0.25083
-0.6530,-1,-0.8217,0.19344
0.52300,-1,1.67876,0.06159
1.78709,-1,1.05365,0.05599
1.32305,-1,1.36620,0.04815
0.47500,-1,1.36620,0.09293
1.22705,-1,1.05365,0.05599
0.82702,-1,1.05365,0.09406
0.17097,-1,0.11597,0.12318
-1.5425,1,-1.7593,0.23608
-1.3827,-1,-1.1342,0.26203
-1.7137,-1,1.36620,0.08734
0.73101,-1,0.74109,0.08958
-0.6130,-1,-0.5091,0.16573
0.36299,-1,-0.5091,0.15106
-1.4010,-1,-1.7593,0.20705
0.58700,-1,0.74109,0.08398
2.21912,-1,1.05365,0.05027
-0.3728,-1,-0.1965,0.13762
0.76302,-1,0.11597,0.08062
1.33905,-1,0.11597,0.09406
-0.2850,-1,-0.1965,0.13437
-1.1571,-1,1.99132,0.15677
0.13257,-1,0.11597,0.11198
-1.3335,-1,-1.7593,0.26203
1.24305,-1,0.74109,0.07838
-0.3250,-1,-0.1965,0.20156
1.16304,-1,1.36620,0.05151
-0.1410,-1,1.36620,0.07726
0.74701,-1,1.05365,0.08958
1.56307,-1,1.67876,0.04479
-1.3171,-1,0.11597,0.16237
0.61901,-1,0.74109,0.08398
-0.1170,-1,-0.1965,0.17805
0.23498,-1,1.36620,0.08387
-0.0619,-1,-0.8217,0.21276
0.26698,-1,1.05365,0.09507
0.61901,-1,-1.1342,0.11534
-0.4594,-1,0.42853,0.10078
1.22705,-1,0.42853,0.08958
0.81102,-1,0.42853,0.08174
0.33007,-1,1.05365,0.06159
2.42713,-1,1.36620,0.05039
-0.9002,-1,-0.8217,0.16797
1.06704,-1,0.42853,0.05599
-1.4051,-1,-1.7593,0.37402
0.76302,-1,0.42853,0.08286
-0.2770,-1,-0.8217,0.13997
-1.3171,-1,-1.1342,0.26315
-0.9293,1,-0.1965,0.13986
0.36299,-1,0.11597,0.13437
-0.9490,-1,-1.4468,0.23740
1.48306,-1,1.36620,0.05151
-1.5694,1,-1.7593,0.23885
-0.5490,-1,-1.1342,0.22945
-0.5250,-1,-0.5091,0.16013
0.85902,-1,1.05365,0.08174
0.17897,-1,0.11597,0.09966
-0.2770,-1,-0.1965,0.10067
0.68301,-1,0.11597,0.08622
0.79502,-1,0.42853,0.07614
1.46706,-1,0.42853,0.07166
0.68301,-1,1.05365,0.07827
-0.7922,-1,-0.1965,0.15106
1.47617,-1,0.74109,0.05016
-0.3570,-1,-0.8217,0.21836
-0.5170,-1,-1.1342,0.16226
-0.1170,-1,0.11597,0.10190
0.18698,-1,1.05365,0.06942
-1.5731,-1,-1.7593,0.30459
1.88309,-1,1.67876,0.03023
-1.1796,-1,-0.8217,0.20492
1.56307,-1,1.36620,0.05599
-0.8370,-1,-0.5091,0.17245
-0.9250,-1,-0.8217,0.26875
0.79502,-1,0.42853,0.07278
-1.2531,-1,-1.1342,0.17245
-0.5122,-1,0.42853,0.16013
0.50293,-1,1.05365,0.09171
-0.9994,-1,-1.1342,0.25072
1.36626,-1,0.42853,0.06718
1.78709,-1,1.05365,0.08163
-0.7922,-1,-0.5091,0.16797
0.87942,-1,-0.1965,0.07166
-0.5170,-1,-0.8217,0.19932
0.31498,1,1.05365,0.06606
0.05257,-1,0.74109,0.09966
-1.3397,-1,-1.4468,0.22116
-0.9010,-1,-1.1342,0.13773
-0.6130,-1,-1.1342,0.18465
2.20311,-1,1.36620,0.06830
0.39979,-1,0.74109,0.12866
-0.1650,-1,-0.5091,0.13437
0.39499,-1,-1.1342,0.11758
-0.9330,-1,-0.5091,0.16226
-1.4611,-1,-1.1342,0.31802
-0.2341,-1,0.11597,0.09406
2.33112,-1,1.36620,0.03919
-1.2769,-1,-1.1342,0.22497
0.13897,-1,0.11597,0.11758
1.16304,-1,1.36620,0.07502
0.79502,-1,0.42853,0.08387
